cite.key,title,year,labels,status,comment,reason
colemanGrizzlyBearHuman2013,Grizzly bear and human interaction in Yellowstone National Park An evaluation of bear management areas,2013,Data,exclude,#example of NHD on space use of large predator,wrong outcome
collinsBehavioralResponsesAnthropogenic2022,Behavioral responses to anthropogenic noise at highways vary across temporal scales,2022,Data,exclude,#example passive interaction elliciting non-consumptive effects,wrong exposure
collopVariabilityAreaEnergy2016,"Variability in the area, energy and time costs of wintering waders responding to disturbance",2016,-,exclude,-,wrong outcome
cooperEscapeItsRelationship2007,Escape and its relationship to pursuit-deterrent signalling in the cuban curly-tailed lizard Leiocephalus carinatus,2007,Data,exclude,-,wrong study design
cooperFactorsAffectingRisk1997,""": Factors affecting risk and cost of escape by the broad-headed skink (Eumeces laticeps) Predator speed, directness of approach, and female presence",1997,Data,exclude,-,wrong outcome
cooperPredationRiskEscape2010,"Predation risk, escape and refuge use by mountain spiny lizards (Sceloporus jarrovii)",2010,Data,exclude,NCE,wrong study design
cooperTradeoffsPredationRisk2000,"Tradeoffs between predation risk and feeding in a lizard, the broad-headed skink (Eumeces laticeps)",2000,Data,exclude,-,wrong study design
cortes-alfonsoPerceivedRiskPredation2021,Perceived risk of predation and habitat use by the Andean White-eared Opossum Didelphis pernigra (Didelphimorphia Didelphidae) in an ex-urban area,2021,Data,exclude,-,wrong exposure
courbinInteractingLethalNonlethal2022,Interacting lethal and nonlethal human activities shape complex risk tolerance behaviors in a mountain herbivore,2022,-,exclude,#example effects of non-hunting disturbance on spatiotemporal use,wrong outcome
crawfordPreyTellsLarge2022,"Prey tells, large herbivores fear the human ‘super predator’",2022,Data,included,raw data available on dryad,behavior measures inconsistent
creelHiddenMarkovModels2020,Hidden Markov Models reveal a clear human footprint on the movements of highly mobile African wild dogs,2020,Data,exclude,-,wrong outcome
cristescuGrizzlyBearUngulate2014,Grizzly bear ungulate consumption and the relevance of prey size to caching and meat sharing,2014,Data,exclude,#example effects of non-hunting disturbance on space use of bears,wrong outcome
cristescuPerceptionHumanDerivedRisk2013,Perception of Human-Derived Risk Influences Choice at Top of the Food Chain,2013,Data,exclude,#example NHD effects on space use of bears,wrong outcome
croesInfluenceHuntingAntipredator2007,The influence of hunting on antipredator behavior in Central African monkeys and duikers,2007,Data,exclude,-,wrong outcome
crosmaryAfricanUngulatesTheir2012,African ungulates and their drinking problems Hunting and predation risks constrain access to water,2012,Data,exclude,#example effects of hunting on temporal activity of herbivores,wrong outcome
crosmaryVulnerabilityPredationWater2012,Vulnerability to predation and water constraints limit behavioural adjustments of ungulates in response to hunting risk,2012,Data,included,-,-
czapanskiyModellingShorttermEnergetic2021,Modelling short-term energetic costs of sonar disturbance to cetaceans using high-resolution foraging data,2021,"Data,concept",exclude,-,wrong study design
darlingtonCumulativeEffectsHuman2022,"Cumulative effects of human footprint, natural features and predation risk best predict seasonal resource selection by white-tailed deer",2022,Data,exclude,-,wrong outcome
davidsonAgeSexdependentVigilance2022,Age- and sex-dependent vigilance behaviour modifies social structure of hunted wild boar populations,2022,Data,exclude,-,-
davidsonWildBoarForaging2022,"Wild boar foraging and risk perception—variation among urban, natural, and agricultural areas",2022,-,included,-,-
davilaAntipredatorBehaviorPure2019,Anti-predator behavior in pure and hybrid red-legged partridges,2019,Data,exclude,-,wrong population
devoeElkForageRisk2019,Elk forage and risk tradeoffs during the fall archery season,2019,-,exclude,-,wrong outcome
diaz-ruizDriversRedFox2016,"Drivers of red fox (Vulpes vulpes) daily activity prey availability, human disturbance or habitat structure?",2016,Data,exclude,-,wrong outcome
diazpauliBehaviouralResponsesHumaninduced2017,Behavioural responses to human-induced change Why fishing should not be ignored,2017,Review,exclude,-,wrong outcome
dillBehaviourallyMediatedBiases2020,Behaviourally mediated biases in transect surveys a predation risk sensitivity approach,2020,Review,exclude,-,wrong outcome
dinizUrbanCyclesHuman2021,Urban cycles of human activity do not significantly alter the behaviour of a duetting bird,2021,Data,exclude,-,wrong study design
diserensFossorialityRiskyLandscape2021,Fossoriality in a risky landscape badger sett use varies with perceived wolf risk,2021,Data,exclude,#example of non-hunting disturbance vs natural predator effects on badger sett use,wrong outcome
djagounHuntingAffectsDry2014,Hunting affects dry season habitat selection by several bovid species in northern Benin,2014,-,exclude,#example effect of hunting on habitat selection of ungulates,wrong outcome
dowdingNocturnalRangingBehaviour2010,"Nocturnal ranging behaviour of urban hedgehogs, Erinaceus europaeus, in relation to risk and reward",2010,Data,exclude,#example non-hunting disturbance effects on animal space use and activity,wrong outcome
dumontFlightInitiationDistance2012,Flight Initiation Distance and Starting Distance Biological Effect or Mathematical Artefact?,2012,Data,exclude,-,wrong study design
dwinnellWhereForageWhen2019,Where to forage when afraid Does perceived risk impair use of the foodscape?,2019,Data,exclude,-,study design
eldegardCopingHumandominatedLandscape2012,Coping in a human-dominated landscape trade-off between foraging and keeping away from roads by moose (Alces alces),2012,Data,exclude,#example effect of passive interactions or NHD on herbivore habitat use,wrong outcome
engelhardtEffectsLevelsHuman2011,Effects of levels of human exposure on flight initiation distance and distance to refuge in foraging eastern gray squirrels (Sciurus carolinensis),2011,Data,exclude,#read/later,wrong outcome
evansHourlyMovementDecisions2019,Hourly movement decisions indicate how a large carnivore inhabits developed landscapes,2019,Data,exclude,-,wrong outcome
everattOptimalForagingLions2023,Optimal foraging of lions at the human wildlands interface,2023,Data,exclude,-,wrong outcome
fardellFearStressingPredator2020,Fear and stressing in predator prey ecology Considering the twin stressors of predators and people on mammals,2020,"theory,applied,concept",included,-,-
fardellSmallPreyAnimal2021,Small Prey Animal Habitat Use in Landscapes of Fear Effects of Predator Presence and Human Activity Along an Urban Disturbance Gradient,2021,Data,exclude,review,pooled mixed species analysis
fardellSmallPreyAnimal2022,Small Prey Animal Foraging Behaviors in Landscapes of Fear Effects of Predator Presence and Human Activity Along an Urban Disturbance Gradient,2022,Data,included,#followup check ethogram + video analysis protocol,mixed multispecies analysis
fernandez-juricicCaliforniaEndangeredBelding2009,California's Endangered Belding's Savannah Sparrow (Passerculus sandwichensis beldingi) Tolerance of Pedestrian Disturbance,2009,-,exclude,-,-
fernandez-juricicEffectsHumanDisturbance2000,"Effects of human disturbance on spatial and temporal feeding patterns of Blackbird Turdus merula in urban parks in Madrid, Spain",2000,Data,included,negative control included natural predators,-
fernandez-juricicTestingRiskdisturbanceHypothesis2003,Testing the risk-disturbance hypothesis in a fragmented landscape Nonlinear responses of House Sparrows to humans,2003,Data,included,non-linear relationship between human approach and GUD,"non-linear relationship, effects not reported"
fernandez-juricicVariationsScanningBehavior2003,Do variations in scanning behavior affect tolerance to human disturbance?,2003,-,exclude,-,wrong study design
ferrandResponsesEurasianWoodcock2013,Responses of Eurasian woodcock Scolopax rusticola to simulated hunting disturbance,2013,-,exclude,#example effect of hunting on space use and temporal activity of a bird,wrong outcome
findlayFieldGuardingCrop2020,Field guarding as a crop protection method preliminary implications for improving field guarding,2020,Data,exclude,-,wrong population
freebergForagingCallingBehavior2016,Foraging and Calling Behavior of Carolina chickadees (Poecile carolinensis) in Response to the Head Orientation of Potential Predators,2016,Data,exclude,-,wrong outcome
fridConservationAntiPredatorBehavior2009,Conservation and Anti-Predator Behavior,2009,Review,exclude,-,pdf unavailable; book chapter
fridHumancausedDisturbanceStimuli2002,Human-caused disturbance stimuli as a form of predation risk,2002,review,included,"#examples of disturbance mimicing predation risk,  #risk-disturbance hypothesis",-
fujiokaAlertFlightInitiation2020,"Alert and flight initiation distances of crows in relation to the culling method, shooting or trapping",2020,Data,exclude,-,wrong outcome
garcia-arroyoTolerantHumansAssessment2020,"Tolerant to humans? Assessment of alert and flight initiation distances of two bird species in relation to sex, flock size, and environmental characteristics",2020,Data,exclude,-,wrong study design
garcia-garciaDoesGatheringShellfish2015,Does the gathering of shellfish affect the behavior of gastropod scavengers on sandy beaches? A field experiment,2015,Data,exclude,#example effect of NHD on antipredator behavior of shellfish,wrong outcome
garnerHumanDisturbanceInfluences2008,Human disturbance influences behaviour and local density of juvenile frogs,2008,Data,exclude,possible example for human disturbance,wrong outcome
gavinPronghornAntilocapraAmericana2006,Do pronghorn (Antilocapra americana) perceive roads as a predation risk?,2006,Data,included,distance from road used as categorical control,-
gaynorAppliedEcologyFear2021,An applied ecology of fear framework Linking theory to conservation practice,2021,"theory,applied",included,-,-
geffroyEvolutionaryDynamicsAnthropocene2020,Evolutionary dynamics in the Anthropocene Life history and intensity of human contact shape antipredator responses,2020,"Data,Review",exclude,chapter-1 #methods #metaanalysis,wrong exposure
gehrLandscapeCoexistenceLarge2017,A landscape of coexistence for a large predator in a human dominated landscape,2017,-,exclude,-,wrong outcome
gehrStayHomeStay2020,"Stay home, stay safe-Site familiarity reduces predation risk in a large herbivore in two contrasting study sites",2020,Data,exclude,-,wrong outcome
gendallToleranceDisturbanceHumans2015,Tolerance of disturbance by humans in long-time resident and recent colonist urban doves,2015,Data,exclude,comparison accross species,wrong study design
genovartDifferentialAdultSurvival2018,Differential adult survival at close seabird colonies The importance of spatial foraging segregation and bycatch risk during the breeding season,2018,Data,exclude,-,wrong outcome
gillMethodQuantifyEffects1996,A method to quantify the effects of human disturbance on animal populations,1996,"Data, Review",exclude,-,uncertainty not reported
giordanoPreyResponsesPredation2022,Prey responses to predation risk under chronic road noise,2022,Data,included,should lack of mouse vigilance be included in meta-analysis?,-
goldenbergIntergenerationalChangeAfrican2018,"Inter-generational change in African elephant range use is associated with poaching risk, primary productivity and adult mortality",2018,Data,exclude,-,wrong outcome
goss-custardDisturbanceDoesNot2020,-,2020,Data,exclude,-,wrong outcome
gotmarkPreySelectionSparrowhawks1996,"Prey selection by sparrowhawks, Accipiter nisus Relative predation risk for breeding passerine birds in relation to their size, ecology and behaviour",1996,Data,exclude,-,wrong-exposure
goumasHerringGullAversion2020,Herring gull aversion to gaze in urban and rural human settlements,2020,Data,exclude,-,wrong outcome
gregoryResponsesNatricineSnakes2016,Responses of Natricine Snakes to Predatory Threat A Mini-Review and Research Prospectus,2016,review,exclude,-,lack of relevance
griffinIndividuallevelBehavioralResponses2017,Individual-level behavioral responses of immature green turtles to snorkeler disturbance,2017,-,exclude,-,wrong outcome
griggForagingDistributionPacific2012,Foraging distribution of Pacific harbor seals (Phoca vitulina richardii) in a highly impacted estuary,2012,-,exclude,#example effects of NHD on marine predator habitat use,wrong outcome
grignolioEffectsHuntingHounds2011,Effects of hunting with hounds on a non-target species living on the edge of a protected area,2011,Data,included,"#example effects of hunting on range size of herbivore,  hunting mode: with hounds",wrong outcome
guayAvianBufferInteractiveTool2016,AvianBuffer An interactive tool for characterising and managing wildlife fear responses,2016,applied,exclude,-,wrong outcome
guoVariationEscapeResponse2022,Variation in escape response of Himalayan marmots (Marmota himalayana) under different human disturbances,2022,Data,exclude,#example disturbance effects on small mammal flight behavior,wrong outcome
gyimesiHumanDisturbanceBewick2012,"Human disturbance of Bewick's Swans is reflected in giving-up net energy intake rate, but not in giving-up food density",2012,Data,exclude,-,wrong outcome
haemigDynamicTablevisitingBehavior2021,Dynamic table-visiting behavior of birds at outdoor restaurants and cafes,2021,Data,exclude,-,wrong outcome
haidtHumanBeastFlightAggressive2018,Human and the beast-Flight and aggressive responses of European bison to human disturbance,2018,Data,exclude,-,wrong outcome
hallFlightInitiationDistance2020,Flight initiation distance changes across landscapes and habitats in a successful urban coloniser,2020,Data,exclude,-,wrong outcome
hammerRepeatabilityAlertFlight2022,"Repeatability of alert and flight initiation distances in king penguins Effects of colony, approach speed, and weather",2022,Data,exclude,-,lack of control
hammondRiskPerceptionTerrestriality2022,"Risk perception and terrestriality in primates A quasi-experiment through habituation of chacma baboons (Papio ursinus) in Gorongosa National Park, Mozambique",2022,-,exclude,-,wrong exposure
hansenHabituationHumansPredatorfree2015,Habituation to humans in a predator-free wild ungulate,2015,Data,exclude,-,wrong outcome
harrisMarineMammalsSonar2018,"Marine mammals and sonar Dose-response studies, the risk-disturbance hypothesis and the role of exposure context",2018,review,included,-,-
haswellFearDarkMesopredator2020,"Fear of the dark? A mesopredator mitigates large carnivore risk through nocturnality, but humans moderate the interaction",2020,Data,exclude,-,wrong outcome
haswellLargeCarnivoreImpacts2017,Large carnivore impacts are context-dependent,2017,Review,included,-,-
haywardRiskPerceptionEndangered2015,Risk perception by endangered European bison Bison bonasus is context (condition) dependent,2015,Data,exclude,-,wrong study design
hebblewhiteModellingWildlifehumanRelationships2008,Modelling wildlife-human relationships for social species with mixed-effects resource selection models,2008,Data,exclude,-,wrong outcome
hendersonBehaviourDomesticDucks2001,Behaviour of domestic ducks exposed to mobile predator stimuli. 1. Flock responses,2001,Data,exclude,-,wrong population; non-wild animal
hertelTemporalEffectsHunting2016,Temporal effects of hunting on foraging behavior of an apex predator Do bears forego foraging when risk is high?,2016,Data,exclude,-,wrong outcome
holmernEffectsExperimentalHuman2016,Effects of experimental human approaches on escape behavior in Thomson's gazelle (Eudorcas thomsonii),2016,Data,exclude,-,wrong study design
houdeManipulatingForageRisk2020,Manipulating forage and risk avoidance to increase white-tailed deer vulnerability to hunters,2020,Data,exclude,-,wrong exposure
hunterLandUsesBotswana1996,Land uses on the Botswana/Zimbabwe border and their effects on buffalo,1996,case study,exclude,-,wrong outcome
ihwagiPoachingLowersElephant2019,Poaching lowers elephant path tortuosity implications for conservation,2019,Data,exclude,-,wrong outcome
isojunnoSpermWhalesReduce2016,Sperm whales reduce foraging effort during exposure to 1-2 kHz sonar and killer whale sounds,2016,Data,exclude,-,wrong outcome
jacobySharkMovementStrategies2020,"Shark movement strategies influence poaching risk and can guide enforcement decisions in a large, remote marine protected area",2020,Data,exclude,-,wrong outcome
jansenReactionHarborSeals2010,Reaction of harbor seals to cruise ships,2010,Data,exclude,"#example effect of non-human disturbance on escape behavior + behvioural thermoregulation,  marine",wrong outcome; escape behavior
januchowski-hartleyFearFishersHuman2011a,Fear of Fishers Human Predation Explains Behavioral Changes in Coral Reef Fishes,2011,-,exclude,#example effects of hunting on marine animal behavior,wrong outcome
jayakodyEffectsHumanDisturbance2011,Effects of human disturbance on the diet composition of wild red deer (Cervus elaphus),2011,Data,exclude,#example effects of non-hunting disturbance on diet composition of herbivores,wrong outcome
jayakodyRedDeerCervus2008,Red deer Cervus elephus vigilance behaviour differs with habitat and type of human disturbance,2008,Data,included,not focal animal sampling,-
jiangAntipredatorEscapeDistances2017,Antipredator escape distances of common and threatened birds,2017,Data,exclude,-,wrong study design
jiangBehavioralResponsesBlue2013,Behavioral responses of blue sheep (Pseudois nayaur) to nonlethal human recreational disturbance,2013,Data,included,-,uncertainty not reported
jiangEffectsHumanDisturbance2007,"Effects of human disturbance on movement, foraging and bed selection in red deer Cervus elaphus xanthopygus from the Wandashan Mountains, northeastern China",2007,Data,exclude,different behaviors analysed,wrong outcome
jiangEscapePredatorsGenetic2017,Escape from predators and genetic variance in birds,2017,Data,exclude,-,wrong study design
jordanEcologicalFactorsShape2022,-,2022,Data,exclude,"change in foraging decisions in response to cost, risk and potential benefit in a generalist",wrong outcome
kalbFlightInitiationDistance2019,Flight initiation distance and escape behavior in the black redstart (Phoenicurus ochruros),2019,Data,exclude,-,wrong study design
karlssonWhatDistanceWolves2007,At what distance do wolves move away from an approaching human?,2007,"Data,Other NCB",exclude,"should studies with only human treatment be included and compared to natural predators?,  Cannot be done for apex predators",wrong study design
keulingDoesHuntingAffect2021,Does hunting affect the behavior of wild pigs?,2021,Review,included,-,-
keyelNOEVIDENCEINDIVIDUAL2012,NO EVIDENCE FOR INDIVIDUAL ASSORTMENT BY TEMPERAMENT RELATIVE TO PATCH AREA OR PATCH OPENNESS IN THE BOBOLINK,2012,Data,exclude,-,wrong study design
khanShiftsDielActivity2023,Shifts in diel activity of Rocky Mountain mammal communities in response to anthropogenic disturbance and sympatric invasive white-tailed deer,2023,Data,exclude,-,wrong outcome
kiffnerInterspecificVariationLarge2014,Interspecific variation in large mammal responses to human observers along a conservation gradient with variable hunting pressure,2014,Data,exclude,measured variables do not align with theory,wrong outcome
kiszkaBehaviouralDriversEcological2015,Behavioural drivers of the ecological roles and importance of marine mammals,2015,Review,exclude,-,-
kittendorfUrbanFoxSquirrels2021,Urban fox squirrels exhibit tolerance to humans but respond to stimuli from natural predators,2021,Other NCB,exclude,-,wrong exposure
kongDisturbancePredationRisk2021,"Disturbance and predation risk influence vigilance synchrony of black-necked cranes Grus nigricollis, but not as strongly as expected",2021,Data,exclude,-,wrong outcome
krishnaWildUngulateDecisionMaking2016,Wild Ungulate Decision-Making and the Role of Tiny Refuges in Human-Dominated Landscapes,2016,Data,exclude,-,wrong exposure
kuijperPawsClawsEcological2016,Paws without claws? Ecological effects of large carnivores in anthropogenic landscapes,2016,review,included,-,-
labansenReactionsColonialSeabird2021,Reactions of a colonial seabird species to controlled gunshot disturbance experiments,2021,-,exclude,-,wrong outcome
ladleGrizzlyBearResponse2019,Grizzly bear response to spatio-temporal variability in human recreational activity,2019,Data,exclude,-,wrong study design
lagosFlightInitiationDistance2009,Flight initiation distance is differentially sensitive to the costs of staying and leaving food patches in a small-mammal prey,2009,Data,exclude,NCE,wrong study design
lamannaBehavioralResponseBrown2016,Behavioral response of brown meagre (Sciaena umbra) to boat noise,2016,Data,exclude,-,wrong outcome
laursenHuntingMotorboatsDisplaces2008,Hunting from motorboats displaces Wadden Sea eiders Somateria mollissima from their favoured feeding distribution,2008,Data,exclude,#example for density changes dues to hunting,wrong outcome
